state,year,nbs_socioeconomic_need_proxy,nbs_socioeconomic_need_proxy_norm,school_age_basic_population,split_group,model_ready_flag,source_note,source_file,source_sheet,cleaning_status,interim_note
Imo,2022,0.366297,0.3909596533392601,1754241,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Jigawa,2022,0.66713,0.8062471269207355,2757744,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Kaduna,2022,0.481345,0.549778643478645,2750033,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Kano,2022,0.558577,0.6563942147744952,5456652,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Katsina,2022,0.635673,0.7628220437135991,3844428,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Kebbi,2022,0.807484,1,1951520,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Kogi,2022,0.561469,0.6603865007723665,1234128,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Kwara,2022,0.39239,0.42697995712295883,1108383,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Lagos,2022,0.083087,0,3782715,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Nasarawa,2022,0.465279,0.5276001971294746,901756,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Niger,2022,0.559825,0.6581170269893443,2367798,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Ogun,2022,0.506861,0.5850024227046772,2036732,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Ondo,2022,0.313571,0.3181735981788992,1663525,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Osun,2022,0.30537,0.30685245797539196,1274894,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Oyo,2022,0.411313,0.4531023734223085,2473608,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Plateau,2022,0.70417,0.8573793099640115,1471108,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Rivers,2022,0.386965,0.41949096973068634,2109699,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Sokoto,2022,0.724193,0.8850202306193979,2410947,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Taraba,2022,0.661959,0.7991087759888569,1206243,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Yobe,2022,0.652029,0.785400823029361,1278008,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Zamfara,2022,0.722688,0.8829426405686385,2219338,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
