state,year,target_beni_core_score,beni_rank_within_year,priority_band_within_year,split_group,model_ready_flag,source_note,source_file,source_sheet,processed_dataset_name,processed_status
Benue,2020,0.25601872773049583,22,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Benue,2022,0.2340571650619915,25,Medium Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Borno,2018,0.4819974172321306,7,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Borno,2019,0.49246644261251193,6,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Borno,2020,0.496093572927057,6,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Borno,2022,0.49572986437132477,6,High Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Cross River,2018,0.2042145328385616,36,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Cross River,2019,0.17265429680671535,37,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Cross River,2020,0.17519647967165172,37,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Cross River,2022,0.18095001031583563,36,Lower Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Delta,2018,0.2683612629513222,26,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Delta,2019,0.2173235948477811,25,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Delta,2020,0.21768172487178677,25,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Delta,2022,0.21015932948819582,31,Lower Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ebonyi,2018,0.3246343386482827,20,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ebonyi,2019,0.2986190755040859,20,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ebonyi,2020,0.301778120527817,20,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ebonyi,2022,0.2616656162227856,22,Medium Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Edo,2018,0.22128900998858886,31,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Edo,2019,0.2019329926926285,27,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Edo,2020,0.20760598461101504,27,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Edo,2022,0.23201160417018887,26,Lower Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ekiti,2018,0.2045617401306989,35,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ekiti,2019,0.184650205603724,35,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ekiti,2020,0.18703872155219722,32,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ekiti,2022,0.16138707170275832,37,Lower Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Enugu,2018,0.2546900031589669,29,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Enugu,2019,0.18026885653813518,36,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
