state,year,target_beni_core_score,beni_rank_within_year,priority_band_within_year,split_group,model_ready_flag,source_note,source_file,source_sheet,processed_dataset_name,processed_status
Ondo,2022,0.32212263339768965,19,Medium Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Osun,2018,0.2091914530818077,34,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Osun,2019,0.19140452595962004,31,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Osun,2020,0.17794810120428195,36,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Osun,2022,0.19519408489702178,33,Lower Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Oyo,2018,0.3465408261055973,18,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Oyo,2019,0.36561974819700505,18,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Oyo,2020,0.3757245650647708,18,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Oyo,2022,0.4957336120811746,5,High Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Plateau,2018,0.3000646654574584,21,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Plateau,2019,0.2860701430568434,21,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Plateau,2020,0.28689983973245803,21,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Plateau,2022,0.26024194390294036,23,Medium Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Rivers,2018,0.282861476563473,22,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Rivers,2019,0.23686382639020342,23,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Rivers,2020,0.24148454778715817,23,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Rivers,2022,0.3355317013527512,18,Medium Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Sokoto,2018,0.5057665346762947,5,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Sokoto,2019,0.5125317701787186,5,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Sokoto,2020,0.5210254496896275,5,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Sokoto,2022,0.45248419575066434,8,High Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Taraba,2018,0.36628198348105245,17,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Taraba,2019,0.37292131422446617,16,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Taraba,2020,0.37730871271852673,16,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Taraba,2022,0.37638454837015,14,Medium Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Yobe,2018,0.5344731906649363,3,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Yobe,2019,0.6279977531745827,1,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Yobe,2020,0.6281701092147027,1,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Yobe,2022,0.5539562787940847,3,High Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Zamfara,2018,0.3817012229887161,14,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Zamfara,2019,0.3861109310217992,14,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Zamfara,2020,0.3871323454997163,15,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Zamfara,2022,0.44501135057134994,9,High Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
