state,year,target_beni_expanded_score,beni_expanded_rank,target_beni_core_score,beni_core_rank,nbs_socioeconomic_need_proxy,school_age_basic_population,dmo_domestic_debt_stock_naira,fiscal_pressure_band,split_group,model_ready_flag,source_note,source_file,source_sheet,processed_dataset_name,processed_status
Imo,2022,0.5878903638692669,7,0.6272765059752682,4,0.366297,1754241,207520959471.52,High,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Jigawa,2022,0.523873796489069,12,0.4673991304027356,12,0.66713,2757744,44406862432.83,Low,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Kaduna,2022,0.5567249427187381,9,0.5581142025667567,7,0.481345,2750033,86863069011.79,Low,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Kano,2022,0.5585826974055309,8,0.539020393931738,9,0.558577,5456652,125186662228.72,Medium,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Katsina,2022,0.7809727773862591,1,0.7846029241207911,1,0.635673,3844428,62374809154.32,Low,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Kebbi,2022,0.6208063949845395,5,0.5449676739814474,8,0.807484,1951520,60131306074.57,Low,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Kogi,2022,0.27121871059127395,28,0.19338515255505545,35,0.561469,1234128,90156501322.0,Low,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Kwara,2022,0.2657256429926266,30,0.23347478016656012,27,0.39239,1108383,109551279948.44,Medium,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Lagos,2022,0.16174238073952138,37,0.19409085688742564,34,0.083087,3782715,877035995031.7,High,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Nasarawa,2022,0.36395511677989006,21,0.33122610070997316,20,0.465279,901756,72627065374.64,Low,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
