rank,feature,coefficient,absolute_coefficient
1,unqualified_teacher_share,0.6794530888378624,0.6794530888378624
2,bad_classroom_share,0.47981459907749113,0.47981459907749113
3,nbs_socioeconomic_need_proxy,0.23007641758133535,0.23007641758133535
4,pupil_teacher_ratio,0.0017565928283156864,0.0017565928283156864
5,pupil_classroom_ratio,0.0015115919386694322,0.0015115919386694322
6,enrolment_per_school,0.0002633851436358065,0.0002633851436358065
