Model,Validation Method,Rows,Features,Mean MAE,Mean RMSE,Mean R²,Spearman Rank Correlation,Spearman p-value
Linear Regression,5-fold cross-validation,37,6,1.9668951152480815e-15,4.563326171944847e-15,1.0,0.9999999999999999,1.547064082022541e-275
Ridge Regression,5-fold cross-validation,37,6,0.04802115333620413,0.06061170663790863,0.8605720707281918,0.9082503556187765,8.372125943061582e-15
Random Forest Regressor,5-fold cross-validation,37,6,0.041710409530165436,0.06939816800064247,0.8172182781485973,0.8994784257942151,3.852322663900832e-14
Gradient Boosting Regressor,5-fold cross-validation,37,6,0.03972353263036836,0.06558124884444545,0.8367714519843873,0.8990042674253199,4.16682106943549e-14
