Model,Training Rows,Test Rows,Features,MAE,RMSE,R²,Spearman Rank Correlation,Spearman p-value
Linear Regression,111,37,5,1.455067297882038e-14,1.9051950299262428e-14,1.0,0.9999999999999999,1.547064082022541e-275
Ridge Regression,111,37,5,0.020208700954995884,0.02718712860618337,0.9561575866663703,0.9383594120436225,1.0130357899102561e-17
Random Forest Regressor,111,37,5,0.035905043725015476,0.05124785145590339,0.8442173476093731,0.9279279279279279,1.4368999845210477e-16
Gradient Boosting Regressor,111,37,5,0.03697238330208143,0.05579951038598694,0.8153163090639081,0.9170222854433381,1.5489280804260605e-15
