dataset,target,best_model,validation_strategy,rows,features,best_rmse,best_r2,best_spearman,top_10_overlap_rate
BENI-Core,target_beni_core_score,Linear Regression,2018-2020 train; 2022 holdout test,148,5,1.9051950299262428e-14,1.0,0.9999999999999999,
BENI-Expanded,target_beni_expanded_score,Linear Regression,5-fold cross-validation and full-sample ranking validation,37,6,4.563326171944847e-15,1.0,0.9999999999999999,1.0
